region_code,region_name,region_en,region_type,region_type_flag,year,births,grade1_students,elem_school,school_change,closed_elem_year,closed_elem_year_2020_2024,births_per_school,grade1_per_school,b2s_ratio,b2s_gap,risk_index,estimated_flag
11, 서울특별시,Seoul,CapitalArea,1,2020,47445,71356,607,0,0,0,78.163,117.555,1.504,23911,0.504,0
11, 서울특별시,Seoul,CapitalArea,1,2021,45531,71138,607,0,0,0,75.01,117.196,1.562,25607,0.562,0
11, 서울특별시,Seoul,CapitalArea,1,2022,42602,70442,608,1,0,0,70.069,115.859,1.653,27840,0.653,0
11, 서울특별시,Seoul,CapitalArea,1,2023,39456,66324,609,1,0,0,64.788,108.906,1.681,26868,0.681,0
11, 서울특별시,Seoul,CapitalArea,1,2024,41605,59492,609,0,0,0,68.317,97.688,1.43,17887,0.43,0
26, 부산광역시,Busan,OtherMetro,1,2020,15058,"25,800",304,0,0,0,49.533,84.868,0.584,10742,0.713,1
26, 부산광역시,Busan,OtherMetro,1,2021,14446,"24,800",304,0,0,0,47.52,81.579,0.583,10354,0.717,1
26, 부산광역시,Busan,OtherMetro,1,2022,14134,25535,304,0,0,0,46.493,83.997,1.807,11401,0.807,0
26, 부산광역시,Busan,OtherMetro,1,2023,12866,23622,305,1,0,0,42.184,77.449,1.836,10756,0.836,0
26, 부산광역시,Busan,OtherMetro,1,2024,13063,20921,305,0,0,0,42.83,68.593,1.602,7858,0.602,0
27,  대구광역시,Daegu,OtherMetro,1,2020,11193,20189,241,0,0,1,46.444,83.772,1.804,8996,0.804,1
27,  대구광역시,Daegu,OtherMetro,1,2021,10661,20310,241,0,0,1,44.237,84.274,1.905,9649,0.905,1
27,  대구광역시,Daegu,OtherMetro,1,2022,10134,20254,241,0,0,1,42.05,84.041,1.999,10120,0.999,1
27,  대구광역시,Daegu,OtherMetro,1,2023,9410,18889,240,-1,1,1,39.208,78.704,2.007,9479,1.007,1
27,  대구광역시,Daegu,OtherMetro,1,2024,10103,16996,240,0,0,1,42.096,70.817,1.682,6893,0.682,0
28,인천광역시,Incheon,CapitalArea,1,2020,16040,25786,253,0,0,0,63.399,101.921,1.608,9746,0.608,0
28,인천광역시,Incheon,CapitalArea,1,2021,14947,25491,258,5,0,0,57.934,98.802,1.705,10544,0.705,0
28,인천광역시,Incheon,CapitalArea,1,2022,14464,23900,260,2,0,0,55.631,91.923,0.605,9436,0.652,1
28,인천광역시,Incheon,CapitalArea,1,2023,13659,21100,262,2,0,0,52.134,80.534,0.647,7441,0.545,1
28,인천광역시,Incheon,CapitalArea,1,2024,15236,19300,265,3,0,0,57.494,72.83,0.789,4064,0.267,1
29,광주광역시,Gwangju,OtherMetro,1,2020,7318,13600,154,0,0,0,47.519,88.312,0.538,6282,0.858,1
29,광주광역시,Gwangju,OtherMetro,1,2021,7956,13400,155,1,0,0,51.329,86.452,0.594,5444,0.684,1
29,광주광역시,Gwangju,OtherMetro,1,2022,7446,13300,155,0,0,0,48.039,85.806,0.56,5854,0.786,1
29,광주광역시,Gwangju,OtherMetro,1,2023,6172,12538,155,0,0,0,39.819,80.89,2.031,6366,1.031,0
29,광주광역시,Gwangju,OtherMetro,1,2024,6034,11392,155,0,0,0,38.929,73.497,1.888,5358,0.888,0
30,대전광역시,Daejeon,OtherMetro,1,2020,7481,13850,150,0,0,2,49.873,92.333,1.851,6369,0.851,0
30,대전광역시,Daejeon,OtherMetro,1,2021,7414,13433,150,0,0,2,49.427,89.553,1.812,6019,0.812,1
